"CO_ANO;""CO_MES"";""CO_NCM"";""CO_UNID"";""CO_PAIS"";""SG_UF_NCM"";""CO_VIA"";""CO_URF"";""QT_ESTAT"";""KG_LIQUIDO"";""VL_FOB"";""VL_FRETE"";""VL_SEGURO"""
"2025;""08"";""90328990"";""11"";""386"";""MG"";""04"";""0817600"";15;93;44664;524;16"
"2025;""10"";""40169300"";""10"";""827"";""SP"";""04"";""0817700"";9;9;747;88;0"
"2025;""11"";""81041100"";""10"";""245"";""SC"";""04"";""0817600"";20;20;675;309;0"
"2025;""05"";""85371090"";""10"";""249"";""MG"";""04"";""0817600"";28;28;52060;919;31"
"2025;""06"";""87082919"";""11"";""161"";""SC"";""01"";""0927800"";30;27;471;9;0"
"2025;""02"";""85363090"";""11"";""160"";""PE"";""01"";""0817800"";1000;42;2150;22;4"
"2025;""07"";""90268000"";""11"";""275"";""RJ"";""01"";""0717800"";1;0;105;0;0"
"2025;""11"";""39100090"";""10"";""275"";""SC"";""01"";""0717600"";9400;9400;38757;460;0"
"2025;""10"";""74153300"";""10"";""249"";""SP"";""04"";""0817600"";70;70;3399;298;5"
"2025;""04"";""39173290"";""10"";""858"";""SP"";""01"";""0817800"";10549;10549;57585;9356;58"
"2025;""03"";""85044029"";""11"";""249"";""PR"";""04"";""0917900"";12;21;637;298;1"
"2025;""09"";""27011100"";""10"";""160"";""ES"";""01"";""0817800"";240000;240000;123356;48000;250"
"2025;""09"";""73269090"";""10"";""538"";""SC"";""01"";""0927800"";4;4;6063;5;0"
"2025;""04"";""76169900"";""10"";""161"";""PR"";""01"";""0917800"";984;984;47222;537;94"
"2025;""02"";""84212300"";""11"";""160"";""SP"";""10"";""0817900"";391;336;8943;185;4"
